order_id,order_date,amount,product_id
1001,2024-05-10,5163,7
1002,2024-12-31,8649,33
1003,2024-11-10,7675,23
1004,2022-05-02,767,21
1005,2023-04-12,4568,19
1006,2022-11-27,9437,48
1007,2022-03-29,6919,19
1008,2024-05-21,3819,36
1009,2022-05-11,2845,29
1010,2024-02-09,7583,18
1011,2022-12-10,639,2
1012,2024-03-16,5064,1
1013,2023-01-21,4935,47
1014,2024-08-13,3875,5
1015,2022-10-04,6142,20
1016,2023-04-05,7202,11
1017,2022-01-22,7412,42
1018,2022-09-10,5420,2
1019,2024-01-18,6232,3
1020,2024-05-06,7991,23
1021,2023-04-20,2879,12
1022,2024-12-18,1024,20
1023,2023-05-26,1681,5
1024,2023-12-01,7814,37
1025,2024-09-02,3424,38
1026,2022-07-09,5813,30
1027,2024-08-15,7126,9
1028,2023-11-18,355,34
1029,2024-08-15,4904,44
1030,2023-07-17,1938,35
1031,2024-04-11,109,22
1032,2023-10-09,2971,44
1033,2022-01-21,9089,24
1034,2024-04-20,7509,17
1035,2022-06-16,7518,10
1036,2023-01-23,5224,30
1037,2023-08-24,1115,46
1038,2022-11-12,2293,23
1039,2022-01-14,8515,32
1040,2022-08-30,7549,17
1041,2024-02-16,4258,50
1042,2023-07-19,4025,17
1043,2024-06-16,7070,14
1044,2022-04-02,7038,9
1045,2024-08-13,4884,40
1046,2023-05-24,4100,2
1047,2024-02-15,1733,45
1048,2022-02-04,7366,25
1049,2022-07-25,8802,39
1050,2024-10-22,484,9
1051,2024-10-18,504,22
1052,2023-07-20,8275,43
1053,2023-12-04,2100,46
1054,2023-02-06,9960,4
1055,2023-12-31,6089,26
1056,2022-06-11,1560,29
1057,2022-07-21,7290,45
1058,2024-09-22,7240,34
1059,2022-09-27,3736,23
1060,2024-03-26,4909,37
1061,2023-04-01,4278,11
1062,2024-10-13,7345,6
1063,2022-10-23,6700,18
1064,2023-12-21,6097,21
1065,2022-12-04,2148,42
1066,2024-05-28,4880,36
1067,2024-12-12,816,41
1068,2024-03-02,8039,38
1069,2022-08-05,5665,34
1070,2024-02-03,4644,17
1071,2022-07-07,5076,37
1072,2023-01-15,3519,25
1073,2023-05-08,7339,38
1074,2024-11-30,9866,12
1075,2022-01-15,349,23
1076,2022-03-06,8965,42
1077,2023-06-05,870,22
1078,2023-10-10,4463,21
1079,2024-12-22,1177,27
1080,2023-08-16,8527,31
1081,2023-01-27,8680,6
1082,2023-02-23,8001,27
1083,2022-10-16,4958,40
1084,2023-01-14,6644,34
1085,2022-08-19,4819,12
1086,2024-10-14,2914,45
1087,2022-02-10,3474,7
1088,2024-11-17,1352,10
1089,2022-05-15,7096,45
1090,2022-07-20,4773,17
1091,2024-02-19,4630,26
1092,2024-07-18,6981,21
1093,2024-11-22,7049,28
1094,2024-12-07,9621,46
1095,2023-05-18,6341,2
1096,2023-02-11,8117,43
1097,2024-03-15,7041,1
1098,2022-04-09,9650,36
1099,2023-11-15,7102,26
1100,2023-12-27,1431,29
1101,2024-08-18,4361,21
1102,2023-09-05,7748,11
1103,2023-10-05,9650,40
1104,2024-10-25,5215,11
1105,2023-05-18,4737,36
1106,2024-02-06,4954,49
1107,2023-02-02,3277,39
1108,2024-05-20,7830,40
1109,2024-03-05,2280,35
1110,2023-01-28,4992,34
1111,2022-07-26,7143,47
1112,2024-11-04,237,24
1113,2024-06-10,6427,22
1114,2024-05-13,3572,5
1115,2024-01-13,5549,33
1116,2023-07-18,2932,36
1117,2024-10-17,3679,47
1118,2022-04-06,6071,20
1119,2023-04-30,4264,19
1120,2022-08-19,8041,35
1121,2024-01-19,5669,43
1122,2023-06-25,4400,17
1123,2024-11-25,6369,45
1124,2023-06-09,3918,43
1125,2023-08-01,2006,34
1126,2023-11-13,6354,9
1127,2023-07-11,860,26
1128,2024-10-09,7930,2
1129,2023-10-08,7450,9
1130,2024-03-06,6338,9
1131,2024-11-17,6190,40
1132,2022-07-09,6131,17
1133,2023-09-25,7787,1
1134,2023-09-20,9191,25
1135,2024-08-30,8572,43
1136,2023-12-11,1987,40
1137,2023-10-11,3366,42
1138,2022-11-14,766,25
1139,2023-11-15,4288,39
1140,2023-10-26,771,35
1141,2023-03-18,6877,3
1142,2023-07-18,7670,50
1143,2024-08-09,8056,37
1144,2023-11-30,5224,44
1145,2022-04-23,5685,44
1146,2022-01-02,4877,30
1147,2023-10-04,4000,38
1148,2022-08-08,6777,34
1149,2024-05-04,7081,12
1150,2023-01-20,6476,19
1151,2024-12-12,623,37
1152,2023-12-31,2493,44
1153,2022-09-04,2693,49
1154,2024-04-15,7340,17
1155,2022-07-22,7037,10
1156,2022-05-03,6290,49
1157,2023-02-05,5340,47
1158,2024-02-06,6593,12
1159,2022-10-21,2978,16
1160,2022-10-07,4243,24
1161,2024-06-02,3744,19
1162,2022-07-17,4532,8
1163,2024-09-08,1376,31
1164,2024-01-22,5911,21
1165,2022-05-24,402,17
1166,2023-09-01,738,23
1167,2022-07-06,155,37
1168,2023-04-09,8817,16
1169,2023-10-22,8250,6
1170,2024-02-03,2225,8
1171,2024-08-12,464,25
1172,2023-02-07,6909,18
1173,2022-05-27,4721,25
1174,2024-05-13,5226,12
1175,2023-05-04,5222,15
1176,2024-07-17,1746,26
1177,2023-07-05,1018,41
1178,2022-12-04,2897,45
1179,2024-05-21,6606,26
1180,2023-10-03,5970,47
1181,2023-04-18,1631,32
1182,2022-05-31,8272,10
1183,2022-09-20,3445,16
1184,2022-05-24,7773,7
1185,2022-12-12,7049,17
1186,2023-09-16,6982,23
1187,2024-10-13,2006,26
1188,2024-05-30,3186,21
1189,2022-01-02,8252,22
1190,2024-06-15,5850,7
1191,2022-09-11,9005,14
1192,2023-03-29,1162,15
1193,2024-11-26,2076,7
1194,2024-10-11,1396,9
1195,2022-01-09,6329,48
1196,2024-03-26,7741,8
1197,2022-07-27,225,50
1198,2023-02-08,4732,23
1199,2022-06-01,6388,29
1200,2022-02-23,3696,18
1201,2023-09-20,6268,31
1202,2023-08-10,9895,30
1203,2022-04-14,7661,39
1204,2022-09-11,8358,35
1205,2023-05-25,332,18
1206,2022-04-09,9461,42
1207,2022-06-02,6471,39
1208,2024-07-02,4306,17
1209,2024-05-27,9785,14
1210,2022-12-04,8043,31
1211,2024-04-01,6991,24
1212,2024-08-14,6838,35
1213,2022-06-10,2572,44
1214,2024-03-11,2839,45
1215,2023-02-02,5501,34
1216,2024-03-26,1861,3
1217,2023-02-05,976,37
1218,2023-10-02,3912,43
1219,2024-11-22,9604,40
1220,2023-11-19,1560,26
1221,2023-04-05,1833,23
1222,2024-08-12,1705,44
1223,2023-04-15,5722,39
1224,2024-11-11,6867,15
1225,2024-01-20,7086,49
1226,2022-02-07,3617,4
1227,2022-08-18,3835,29
1228,2023-07-17,9452,22
1229,2023-03-14,8534,25
1230,2022-01-27,2690,13
1231,2022-08-14,1163,18
1232,2024-03-08,4424,33
1233,2022-10-11,9211,16
1234,2024-05-28,5442,45
